"x4sO7niRuO, McDonald's",706
"x9cajowVrH, Cora",643
"whpqmyqJ3r, R̫tisserie St-Hubert",574
"v3MAfKurxa, Restaurant Bingo",414
"JxSofFgUgt, Amir",326
"Tu9I9dCZ4v, Mexigo Restaurant",325
"zHkNPEKMDV, Chez Chose",323
"KPhIByyUoZ, Restaurant Parisa",294
"70jVtIws8G, McDonald's",290
"ABXnulX0MQ, Fieldstone Restaurant",278
"o2CW8kk36a, Quickies Pizza",273
"w8YIrUsNLD, Mikes Restaurants Corporate Office",257
"Gjr3anFdSr, Restaurant C. Thai",220
"Z9XIGGxXOP, La Maison Ho",220
"Yg5x7BQ5BI, La Shish - Restaurant Shish Taouk - Cuisine Libanaise",216
"yJwPUGE4eB, Restaurant Bouf Vit",210
